name,owner,organization,lang,url,created_at,description,stars,pushed_at
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"Welcome! If you came here via the Meteor Challenge (challenge.meteor.com), click the ""Star"" button in the upper-right corner of this page to be counted. Meteor, an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13888,2014-06-24 21:28:27
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"Welcome! If you came here via the [Meteor Challenge](challenge.meteor.com), click the star button in the upper-right corner of this page to be counted. Meteor, an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13887,2014-06-24 21:28:27
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"**Welcome! If you came here via the Meteor Challenge, click the star button in the upper-right corner of this page to be counted.** Meteor, an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13885,2014-06-24 21:28:27
docker,dotcloud,dotcloud,Go,https://github.com/dotcloud/docker,2013-01-18 18:10:57,Docker - the open-source application container engine,13845,2014-07-24 18:42:16
Semantic-UI,Semantic-Org,Semantic-Org,JavaScript,https://github.com/Semantic-Org/Semantic-UI,2013-04-08 23:32:04,Semantic is a UI component framework based around useful principles from natural language.,13757,2014-12-30 22:16:44
laravel,laravel,laravel,PHP,https://github.com/laravel/laravel,2011-06-08 03:06:08,A PHP Framework For Web Artisans,13724,2014-12-30 22:53:08
Semantic-UI,Semantic-Org,Semantic-Org,CSS,https://github.com/Semantic-Org/Semantic-UI,2013-04-08 23:32:04,Semantic is a UI component framework based around useful principles from natural language.,13710,2014-12-30 22:05:49
Font-Awesome,FortAwesome,FortAwesome,JavaScript,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,The iconic font designed for use with Twitter Bootstrap,13677,2013-05-10 16:00:30
Font-Awesome,,FortAwesome,JavaScript,https://github.com//Font-Awesome,2012-02-17 14:19:43,The iconic font designed for use with Twitter Bootstrap,13675,2013-05-10 12:35:07
frontend-dev-bookmarks,dypsilon,,,https://github.com/dypsilon/frontend-dev-bookmarks,2013-06-22 13:23:55,A huge list of frontend development resources I collected over time. Sorted from general knowledge at the top to concrete problems at the bottom.,13616,2014-07-14 05:15:15
Ghost,TryGhost,TryGhost,JavaScript,https://github.com/TryGhost/Ghost,2013-05-04 11:09:13,Just a blogging platform,13490,2015-01-01 16:34:42
gitlabhq,gitlabhq,gitlabhq,Ruby,https://github.com/gitlabhq/gitlabhq,2011-10-02 16:25:27,Project management and code hosting application. Follow us on twitter @gitlabhq,13301,2014-06-16 06:21:47
jekyll,mojombo,,Ruby,https://github.com/mojombo/jekyll,2008-10-20 06:29:03,"Jekyll is a blog-aware, static site generator in Ruby",13229,2013-12-11 22:14:52
underscore,jashkenas,,JavaScript,https://github.com/jashkenas/underscore,2009-10-25 18:31:06,JavaScript's utility _ belt,13202,2014-12-29 23:38:01
discourse,discourse,discourse,Ruby,https://github.com/discourse/discourse,2013-01-12 00:25:55,"A platform for community discussion. Free, open, simple.",12920,2015-01-01 09:51:13
select2,ivaynberg,,JavaScript,https://github.com/ivaynberg/select2,2012-03-04 18:43:12,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results.",12828,2014-12-28 02:48:51
homebrew,,,Ruby,https://github.com//homebrew,2009-05-20 19:38:37,The missing package manager for OS X.,12820,2013-06-09 16:52:14
material-design-icons,google,google,CSS,https://github.com/google/material-design-icons,2014-10-08 18:01:28,Material Design icons by Google,12781,2014-11-29 19:35:39
react,facebook,facebook,JavaScript,https://github.com/facebook/react,2013-05-24 16:15:54,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",12766,2014-12-30 14:45:18
httpie,jakubroztocil,,Python,https://github.com/jakubroztocil/httpie,2012-02-25 12:39:13,"HTTPie is a command line HTTP client, a user-friendly cURL replacement.",12736,2014-10-20 12:41:52
Chart.js,nnnick,,JavaScript,https://github.com/nnnick/Chart.js,2013-03-17 23:56:36,Simple HTML5 Charts using the <canvas> tag,12628,2015-01-01 17:57:25
ionic,driftyco,driftyco,JavaScript,https://github.com/driftyco/ionic,2013-08-20 23:06:02,Advanced HTML5 mobile development framework and SDK. Build great hybrid apps with web technologies you already know and love. Best friends with AngularJS.,12531,2014-12-31 21:56:32
django,django,django,Python,https://github.com/django/django,2012-04-28 02:47:18,The Web framework for perfectionists with deadlines.,12422,2015-01-01 16:42:47
